dataset,client_number,avg_rmse_test,avg_mae_test,avg_f1_macro_test,avg_f1_micro_test,avg_accuracy_test, avg_train_loss,avg_val_loss,max_acc,min_acc,LastRound_avg_acc_test
./node600_10000/node_state_SEIRhidE_100_001_06_01_005_100.csv,2,0.11686571836471557,0.039351335167884825,0.947606906888353,0.9606500684523809,0.9606500625610351,0.01288560227258131,0.028824141164659523,0.9965875744819641,0.9963881373405457,0.9964878559112549
./node600_10000/node_state_SEIRhidE_100_001_06_01_005_100.csv,4,0.15625283718109131,0.0585895299911499,0.9180682517013142,0.9415381845238097,0.9415382385253906,0.012589096822193824,0.03626664225885179,0.9972667694091797,0.9957112669944763,0.9965353608131409
./node600_10000/node_state_SEIRhidE_100_001_06_01_005_100.csv,8,0.15191938877105712,0.06316291093826294,0.9086555444706372,0.9368381994047617,0.9368382453918457,0.01033139583450975,0.03241353313205764,0.9974850416183472,0.9949049949645996,0.9961380958557129
./node600_10000/node_state_SEIRhidE_100_001_06_01_005_100.csv,16,0.4252441883087158,0.22632198333740233,0.6607914203186426,0.7736850446428574,0.7736850261688233,0.008577275999414269,0.04311007575743133,0.9970861077308655,0.8448103070259094,0.9266732931137085
./node600_10000/node_state_SIR_100_002_01_005_100.csv,2,0.0531086266040802,0.003229014575481415,0.9962811070013495,0.9967709851190476,0.9967709541320801,0.04754426665604115,0.05254214860033244,0.9973022937774658,0.9965186715126038,0.9969104528427124
./node600_10000/node_state_SIR_100_002_01_005_100.csv,4,0.127529513835907,0.052909296751022336,0.9507260995224078,0.9470906994047621,0.9470908164978027,0.04515658677555621,0.05616444338229485,0.9964995980262756,0.9776219129562378,0.9887104630470276
./node600_10000/node_state_SIR_100_002_01_005_100.csv,8,0.11698886156082153,0.05548950433731079,0.9445355158307626,0.9445104791666667,0.9445102691650391,0.041411041567334904,0.058407814403472,0.9978017807006836,0.9958741664886475,0.9967235922813416
./node600_10000/node_state_SIR_100_002_01_005_100.csv,16,0.160933256149292,0.06748783588409424,0.8802212569707599,0.9325121485883207,0.9325122833251953,0.0360282651061425,0.06225591051115771,0.998179018497467,0.9704340696334839,0.987023115158081
./node600_10000/node_state_SIRS_20_005_005_01_005_100.csv,2,0.10633351802825927,0.00965256616473198,0.9857439325894528,0.9916208764880953,0.9916208267211915,0.06334521733224392,0.06445743716321886,0.9938715696334839,0.9938091039657593,0.9938403367996216
./node600_10000/node_state_SIRS_20_005_005_01_005_100.csv,4,0.15656888484954834,0.05526354908943176,0.93996922023932,0.9458287083333333,0.9458287239074707,0.06297595584765077,0.0674915207317099,0.9937347769737244,0.992813766002655,0.9933021068572998
./node600_10000/node_state_SIRS_20_005_005_01_005_100.csv,8,0.1184163212776184,0.01873643845319748,0.974541212985657,0.9825184479166668,0.9825183868408203,0.06000693985261023,0.06699123785365373,0.9940090775489807,0.9921391606330872,0.9930889010429382
./node600_10000/node_state_SIRS_20_005_005_01_005_100.csv,16,0.1476196050643921,0.054110610485076906,0.9291864332653486,0.9470254977075285,0.9470254898071289,0.05457511809654534,0.06790804987977025,0.9942500591278076,0.9898902773857117,0.9926086664199829
